model,mu/p_induced,generations,trial,mutants
Lamarckian,0.0001,16,188,7
Combined,0.0001,16,188,44
Darwinian,0.0001,16,189,59
Lamarckian,0.0001,16,189,1
Combined,0.0001,16,189,37
Darwinian,0.0001,16,190,63
Lamarckian,0.0001,16,190,12
Combined,0.0001,16,190,30
Darwinian,0.0001,16,191,99
Lamarckian,0.0001,16,191,5
Combined,0.0001,16,191,17
Darwinian,0.0001,16,192,34
Lamarckian,0.0001,16,192,10
Combined,0.0001,16,192,290
Darwinian,0.0001,16,193,57
Lamarckian,0.0001,16,193,7
Combined,0.0001,16,193,544
Darwinian,0.0001,16,194,16
Lamarckian,0.0001,16,194,10
Combined,0.0001,16,194,46
Darwinian,0.0001,16,195,222
Lamarckian,0.0001,16,195,3
Combined,0.0001,16,195,86
Darwinian,0.0001,16,196,38
Lamarckian,0.0001,16,196,9
Combined,0.0001,16,196,32
Darwinian,0.0001,16,197,33
Lamarckian,0.0001,16,197,6
Combined,0.0001,16,197,60
Darwinian,0.0001,16,198,70
Lamarckian,0.0001,16,198,8
Combined,0.0001,16,198,88
Darwinian,0.0001,16,199,21
Lamarckian,0.0001,16,199,6
Combined,0.0001,16,199,62
Darwinian,0.0001,16,200,48
Lamarckian,0.0001,16,200,9
Combined,0.0001,16,200,36
Darwinian,0.0001,16,201,553
Lamarckian,0.0001,16,201,11
Combined,0.0001,16,201,69
Darwinian,0.0001,16,202,50
Lamarckian,0.0001,16,202,4
Combined,0.0001,16,202,34
Darwinian,0.0001,16,203,54
Lamarckian,0.0001,16,203,8
Combined,0.0001,16,203,69
Darwinian,0.0001,16,204,9
Lamarckian,0.0001,16,204,8
Combined,0.0001,16,204,39
Darwinian,0.0001,16,205,13
Lamarckian,0.0001,16,205,2
Combined,0.0001,16,205,39
Darwinian,0.0001,16,206,87
Lamarckian,0.0001,16,206,5
Combined,0.0001,16,206,43
Darwinian,0.0001,16,207,47
Lamarckian,0.0001,16,207,4
Combined,0.0001,16,207,53
Darwinian,0.0001,16,208,36
Lamarckian,0.0001,16,208,9
Combined,0.0001,16,208,32
Darwinian,0.0001,16,209,17
Lamarckian,0.0001,16,209,5
Combined,0.0001,16,209,36
Darwinian,0.0001,16,210,185
Lamarckian,0.0001,16,210,4
Combined,0.0001,16,210,27
Darwinian,0.0001,16,211,60
Lamarckian,0.0001,16,211,5
Combined,0.0001,16,211,36
Darwinian,0.0001,16,212,16
Lamarckian,0.0001,16,212,5
Combined,0.0001,16,212,32
Darwinian,0.0001,16,213,27
Lamarckian,0.0001,16,213,11
Combined,0.0001,16,213,37
Darwinian,0.0001,16,214,4
Lamarckian,0.0001,16,214,8
Combined,0.0001,16,214,61
Darwinian,0.0001,16,215,110
Lamarckian,0.0001,16,215,5
Combined,0.0001,16,215,305
Darwinian,0.0001,16,216,82
Lamarckian,0.0001,16,216,3
Combined,0.0001,16,216,75
Darwinian,0.0001,16,217,62
Lamarckian,0.0001,16,217,6
Combined,0.0001,16,217,32
Darwinian,0.0001,16,218,39
Lamarckian,0.0001,16,218,4
Combined,0.0001,16,218,47
Darwinian,0.0001,16,219,32
Lamarckian,0.0001,16,219,8
Combined,0.0001,16,219,98
Darwinian,0.0001,16,220,10
Lamarckian,0.0001,16,220,7
Combined,0.0001,16,220,61
Darwinian,0.0001,16,221,52
Lamarckian,0.0001,16,221,6
Combined,0.0001,16,221,25
Darwinian,0.0001,16,222,271
Lamarckian,0.0001,16,222,13
Combined,0.0001,16,222,29
Darwinian,0.0001,16,223,41
Lamarckian,0.0001,16,223,5
Combined,0.0001,16,223,60
Darwinian,0.0001,16,224,38
Lamarckian,0.0001,16,224,7
Combined,0.0001,16,224,54
Darwinian,0.0001,16,225,32
Lamarckian,0.0001,16,225,7
Combined,0.0001,16,225,90
Darwinian,0.0001,16,226,53
Lamarckian,0.0001,16,226,6
Combined,0.0001,16,226,46
Darwinian,0.0001,16,227,11
Lamarckian,0.0001,16,227,5
Combined,0.0001,16,227,14
Darwinian,0.0001,16,228,35
Lamarckian,0.0001,16,228,8
Combined,0.0001,16,228,73
Darwinian,0.0001,16,229,354
Lamarckian,0.0001,16,229,4
Combined,0.0001,16,229,29
Darwinian,0.0001,16,230,39
Lamarckian,0.0001,16,230,8
Combined,0.0001,16,230,18
Darwinian,0.0001,16,231,93
Lamarckian,0.0001,16,231,4
Combined,0.0001,16,231,89
Darwinian,0.0001,16,232,30
Lamarckian,0.0001,16,232,9
Combined,0.0001,16,232,61
Darwinian,0.0001,16,233,31
Lamarckian,0.0001,16,233,11
Combined,0.0001,16,233,35
Darwinian,0.0001,16,234,75
Lamarckian,0.0001,16,234,6
Combined,0.0001,16,234,20
Darwinian,0.0001,16,235,92
Lamarckian,0.0001,16,235,8
Combined,0.0001,16,235,94
Darwinian,0.0001,16,236,66
Lamarckian,0.0001,16,236,4
Combined,0.0001,16,236,25
Darwinian,0.0001,16,237,33
Lamarckian,0.0001,16,237,5
Combined,0.0001,16,237,49
Darwinian,0.0001,16,238,195
Lamarckian,0.0001,16,238,8
Combined,0.0001,16,238,28
Darwinian,0.0001,16,239,9
Lamarckian,0.0001,16,239,6
